"design","score","rank","average-cohession","average-coupling"
"a b c d e f g",0,7,1,-1
"a b c d e$f g",0.09259259259259256,4,1,-0.9074074074074074
"a$d b c e$f g",0.06666666666666676,5,1,-0.9333333333333332
"a$d b c e$f$g",0.0277777777777779,6,1,-0.9722222222222221
"a$d$b c e$f$g",0.22222222222222232,3,1,-0.7777777777777777
"a$d$b$c e$f$g",0.5277777777777779,1,0.9166666666666667,-0.38888888888888884
"a$d$b$c$e$f$g",0.42857142857142855,2,0.42857142857142855,0
