"design","score","rank","average-cohession","average-coupling"
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.1581818181818181,21,0.9727272727272727,-0.8145454545454546
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.19238095238095232,20,0.9238095238095237,-0.7314285714285714
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.21599999999999986,18,0.9199999999999999,-0.7040000000000001
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.21578947368421042,19,0.8894736842105262,-0.6736842105263158
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.36365079365079356,17,0.9325396825396824,-0.5688888888888889
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.42570409982174684,15,0.9527629233511585,-0.5270588235294117
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.4687179487179487,14,0.9487179487179487,-0.48
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.38885470085470086,16,0.9008547008547009,-0.512
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.48035714285714287,13,0.9375,-0.45714285714285713
"JSON2CSVAsyncParser.constructor$JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts$JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor$JSON2CSVTransform.constructor JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.6384389140271494,11,0.9338235294117647,-0.2953846153846154
