"design","score","rank","average-cohession","average-coupling"
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7 B5$B8 C1$C2$C4$C3$D6$D7$Y1 C5 C6$C7$X1$D3$D5$D8$D1 D0 D2 D9",-0.4223929309578004,27,0.4915855636658556,-0.913978494623656
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7 B5$B8 C1$C2$C4$C3$D6$D7$Y1 C5 C6$C7$X1$D3$D5$D8$D1$D9 D0 D2",-0.37104801250080266,23,0.45006635700066355,-0.8211143695014662
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7 B5$B8 C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9 C5 D0 D2",-0.27674829291264424,21,0.4974452554744525,-0.7741935483870968
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7 B5$B8 C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5 D0 D2",-0.269495242829361,19,0.4473506353068397,-0.7168458781362007
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7 B5$B8 C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5$D0 D2",-0.2640310439722157,18,0.3811302463503649,-0.6451612903225806
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7$B5$B8 C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5$D0 D2",-0.19733151972821156,16,0.44782977059436907,-0.6451612903225806
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7$B4$B6$B7$B5$B8 A9 B1 C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5$D0 D2",-0.013134868705712788,12,0.5244995398964377,-0.5376344086021505
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7$B4$B6$B7$B5$B8$C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5$D0 A9 B1 D2",0.06953251652958548,5,0.58566154878765,-0.5161290322580645
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7$B4$B6$B7$B5$B8$C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5$D0$A9 B1 D2",-0.0034043638646887864,10,0.48046660387724666,-0.48387096774193544
"A1$A2$A3$A4$A5$B2$B3$A6$A8$A7$B4$B6$B7$B5$B8$C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5$D0$A9 B1 D2",0.23744505182505538,1,0.6675525787067758,-0.4301075268817204
"A1$A2$A3$A4$A5$B2$B3$A6$A8$A7$B4$B6$B7$B5$B8$C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5$D0$A9$B1 D2",0.17808292484534544,2,0.5006635700066357,-0.3225806451612903
"A1$A2$A3$A4$A5$B2$B3$A6$A8$A7$B4$B6$B7$B5$B8$C1$C2$C4$C3$D6$D7$Y1$C6$C7$X1$D3$D5$D8$D1$D9$C5$D0$A9$B1$D2",0,9,0,0
