"design","score","rank","average-cohession","average-coupling"
"a b c d e f g",0,5,1,-1
"a b$c d e f g",-0.07407407407407407,6,0.8333333333333334,-0.9074074074074074
"a$d b$c e f g",-0.1333333333333332,7,0.8,-0.9333333333333332
"a$d$b$c e f g",0.1805555555555557,4,0.9583333333333334,-0.7777777777777777
"a$d$b$c e$f g",0.42592592592592604,3,0.9444444444444445,-0.5185185185185185
"a$d$b$c e$f$g",0.5277777777777779,1,0.9166666666666667,-0.38888888888888884
"a$d$b$c$e$f$g",0.42857142857142855,2,0.42857142857142855,0
